"","Carats","Cert","Clarity","Color","Cut","Depth","Fluroescence","Known_Conflict_Diamond","Measurements","Polish","Regions","Shape","Symmetry","Table","Vendor","Price","Retail"
"9472",0.5,"AGSL","SI1","F","Excellent",62.3,"None",FALSE,"5.09x5.13x3.19","Very good","Botswana","Round","Very good",57,"1","$ 1,710","$ 2,595"
"9473",0.5,"AGSL","SI1","E","Very good",62.5,"Faint",TRUE,"5.01x5.06x3.15","Very good","Angola","Princess","Good",57,"1","$ 1,790","$ 225"
"9474",2.38,"AGSL","I1","J","Very good",62.9,"None",FALSE,"8.4x8.49x5.32","Excellent","Canada","Round","Very good",58,"3","$ 14,835","$ 22,820"
"9475",2.38,"AGSL","SI1","K","Excellent",60,"None",FALSE,"8.64x8.66x5.19","Excellent","Russia","Round","Excellent",59,"2","$ 20,460","$ 31,475"
"9477",2.42,"GemEx","SI1","J","Excellent",62,"None",FALSE,"8.56x8.61x5.32","Excellent","Australia","Round","Excellent",58,"4","$ 27,475","$ 39,545"
"9478",2.89,"AGSL","SI2","D","Excellent",NA,NA,FALSE,"9.24x9.31x5.64","Excellent","Angola","ROUND","Excellent",NA,"2","$ 49,180","$ 64,285"
"9479",0.7,"AGSL","SI1","H","Good",64.2,"None",TRUE,"5.57X5.55x3.57","Very good","Angola","Oval","Very good",58,"1","$ 2,490","$ 420"
"9480",0.7,"AGSL","SI2","D","Excellent",59.8,"Faint",FALSE,"5.79x5.77x3.46","Excellent","Botswana","Marwuise","Excellent",61,"1","$ 2,375","$ 4,970"
"9482",0.4,"AGSL","VS2","J","Very good",NA,NA,FALSE,"4.71x4.72x2.91","Excellent","Russia","Round","Good",NA,"1","$ 885","$ 1,415"
"9485",0.4,"AGSL","SI2","I","Excellent",62.7,NA,FALSE,"4.72x4.73x2.96","Excellent","Botswana","Round","Excellent",56,"1","$ 885","$ 1,145"
"9487",0.4,"AGSL","SI2","I","Excellent",63.3,"None",FALSE,"4.67x4.69x2.97","Excellent","DR Congo","Round","Very good",NA,"2","$ 870","$ 1,415"
"9489",0.5,"AGSL","SI1","E","Very good",62.3,"Medium",FALSE,"5.01x5.04x3.13","Very good","Canada","Round","Very good",59,"1","$ 1,740","$ 2,860"
"9490",0.5,"AGSL","SI2","E","Excellent",62.3,"None",FALSE,"5.04x5.09x3.16","Excellent","Angola","Marquise","Very good",59,"1","$ 1,540","$ 2,530"
"9491",0.5,"AGSL","SI1","E","Very good",62.4,"None",FALSE,"5.03x5.06x3.15","Very good","Other/Unknown","Round","Very good",59,"1","$ 1,810","$ 2,970"
"9492",0.41,"AGSL","SI1","F","Very good",NA,"None",FALSE,"4.68x4.71x2.99","Excellent","Russia","Pear","Very good",57,"1","$ 1,085","$ 1,780"
"9493",0.41,"AGSL","SI2","F","Excellent",61,NA,FALSE,"4.79x4.82x2.93","Excellent","Angola","Round","Excellent",58,"1","$ 1,060","$ 1,480"
"9494",0.41,"AGSL","SI2","D","Excellent",NA,"Faint",FALSE,"4.79x4.81x2.89","Very good","DR Congo","Emerald","Very good",59,"1","$ 1,125","$ 1,675"
"9495",0.41,"AGSL","SI2","F","Excellent",61.1,"None",FALSE,"4.78x4.8x2.93","Excellent","Canada","Round","Excellent",NA,"1","$ 1,060","$ 1,735"
"9496",0.41,"AGSL","SI2","F","Excellent",60.7,"None",FALSE,"4.79x4.84x2.92","Excellent","Australia","Round","Very good",NA,"1","$ 1,015","$ 1,670"
"9498",0.41,"AGSL","SI2","F","Excellent",59.8,NA,FALSE,"4.81x4.85x2.89","Excellent","Russia","Round","Excellent",61,"1","$ 1,060","$ 1,595"
"9499",0.4,"AGSL","SI2","E","Very good",64.4,"None",FALSE,"4.6x4.62x2.97","Very good","Botswana","Round","Very good",58,"1","$ 990","$ 1,460"
"9502",0.4,"AGSL","SI2","E","Excellent",NA,"None",FALSE,"4.74x4.76x2.91","Excellent","Botswana","Princess","Excellent",59,"1","$ 1,045","$ 1,690"
"9504",0.4,"GemEx","SI2","J","Very good",62.5,"None",FALSE,"4.71x4.73x2.95","Excellent","South Africa","Round","Excellent",59,"1","$ 725","$ 1,145"
"9505",0.4,"AGSL","SI1","I","Very good",62.6,"None",FALSE,"4.67x4.69x2.93","Excellent","Other/Unknown","Oval","Very good",59,"1","$ 940","$ 1,540"
"9506",0.4,"AGSL","SI2","F","Excellent",59.4,"None",FALSE,"4.82x4.85x2.87","Excellent","Russia","Oval","Excellent",60,"1","$ 1,030","$ 1,695"
"9508",0.4,"AGSL","SI2","D","Very good",60.8,NA,FALSE,"4.77x4.74x2.89","Good","Angola","Round","Good",NA,"1","$ 990","$ 1,445"
"9509",4.37,"AGSL","VS1","I","Excellent",NA,"Strong",FALSE,"10.4x10.45x6.5","Excellent","DR Congo","Pear","Excellent",NA,"2","$ 95,300","$ 142,670"
"9510",0.5,"AGSL","VS2","F","Good",58.6,"Medium",FALSE,"5.15x5.17x3.03","Excellent","South Africa","Oval","Very good",62,"1","$ 1,760","$ 2,665"
"9511",0.5,"AGSL","SI1","E","Good",59,"None",FALSE,"5.12x5.18x3.04","Excellent","Russia","Princess","Very good",62,"1","$ 1,740","$ 2,860"
"9512",0.5,"AGSL","SI1","E","Very good",62,NA,FALSE,"5.03x5.06x3.13","Excellent","Australia","Princess","Very good",62,"1","$ 1,790","$ 2,090"
"9514",1,"AGSL","SI1","F","Excellent",62.7,"None",FALSE,"6.39x6.41x4.01","Very good","Angola","Round","Very good",NA,"2","$ 8,595","$ 14,545"
"9517",1,"AGSL","VVS1","D","Excellent",61.4,"None",FALSE,"6.42x6.45x3.95","Excellent","Botswana","Round","Excellent",56,"2","$ 20,250","$ 33,185"
"9518",1,"AGSL","I1","Gy","Good",69.7,"None",FALSE,"5.98x6.05x4.19","Very good","Russia","Marquise","Fair",NA,"1","$ 5,005","$ 8,470"
"9519",1,"AGSL","VS2","D","Excellent",61.9,"None",FALSE,"6.41x6.45x3.98","Excellent","DR Congo","Round","Excellent",NA,"3","$ 11,825","$ 12,560"
"9520",1.24,"AGSL","SI2","E","Very good",62.1,"Strong",FALSE,"6.79x6.86x4.24","Excellent","South Africa","Asscher","Very good",55,"3","$ 8,085","$ 12,510"
"9521",1.24,"AGSL","SI2","H","Excellent",NA,"None",FALSE,"6.68x6.8x4.37","Very good","Australia","Round","Good",NA,"2","$ 8,230","$ 13,925"
"9522",1.7,"AGSL","VS2","F","Very good",NA,"Faint",FALSE,"7.67x7.68x4.66","Very good","Russia","Round","Excellent",60,"3","$ 23,470","$ 36,110"
"9525",0.91,"GemEx","SI1","J","Excellent",NA,"None",FALSE,"6.2x6.23x3.85","Excellent","Angola","Marquise","Very good",55,"1","$ 4,400","$ 7,225"
"9526",1.8,"AGSL","SI1","H","Excellent",62.4,"Strong",FALSE,"7.73x7.77x4.84","Excellent","Botswana","Pear","Excellent",56,"2","$ 15,675","$ 23,340"
"9528",1.8,"AGSL","SI2","G","Very good",58,"None",FALSE,"7.96x8.01x4.63","Excellent","Australia","Round","Very good",NA,"2","$ 15,470","$ 23,805"
"9529",1.8,"AGSL","SI1","H","Excellent",60.3,"Strong",FALSE,"7.82*7.88x4.74","Excellent","Russia","Round","Very good",59,"2","$ 15,675","$ 24,115"
"9530",1.8,"AGSL","SI1","D","Excellent",61.7,"Strong",FALSE,"7.78x7.81x4.81","Excellent","Russia","Cushion","Excellent",59,"2","$ 20,220","$ 31,105"
"9531",1.09,"AGSL","SI1","G","Very good",59.1,"Medium",FALSE,"6.73x6.68x3.96","Very good","Russia","Princess","Very good",NA,"2","$ 7,140","$ 12,085"
"9533",1.53,"AGSL","SI2","G","Excellent",60.5,"Strong",FALSE,"7.48x7.45x4.52","Excellent","South Africa","Asscher","Excellent",NA,"3","$ 11,185","$ 16,895"
"9534",3.41,"AGSL","VS2","F","Excellent",61,"None",FALSE,"9.76x9.73x5.94","Excellent","Russia","Emerald","Excellent",58,"2","$ 114,040","$ 175,445"
"9536",0.81,"AGSL","SI1","F","Excellent",62,"Medium",TRUE,"5.99x5.94x3.7","Excellent","Angola","Round","Excellent",NA,"1","$ 4,195","$ 790"
"9537",2.6,"AGSL","SI1","I","Excellent",NA,"None",FALSE,"8.74x8.78x5.48","Excellent","Canada","Round","Excellent",57,"2","$ 33,460","$ 51,480"
"9538",2.6,"AGSL","VVS2","J","Very good",NA,"None",FALSE,"8.75x8.77x5.49","Excellent","Angola","Round","Excellent",NA,"2","$ 37,100","$ 57,075"
"9539",2.6,"AGSL","SI2","I","Excellent",61.5,"None",FALSE,"8.82x8.85x5.43","Excellent","Russia","Round","Excellent",NA,"4","$ 33,150","$ 46,745"
"9540",2.6,"AGSL","SI1","J","Excellent",60.7,"None",FALSE,"8.83x8.87x5.37","Excellent","Russia","Round","Excellent",NA,"2","$ 28,195","$ 43,380"
"9541",2.6,"AGSL","VS1","E","Excellent",62.3,"None",FALSE,"8.71x8.77*5.44","Excellent","Russia","Round","Excellent",59,"2","$ 74,030","$ 113,890"
"9542",2.6,"AGSL","VS2","K","Excellent",NA,"None",FALSE,"8.77x8.83x5.42","Excellent","Russia","Round","Excellent",NA,"4","$ 27,770","$ 41,900"
"9543",1.71,"AGSL","VS2","G","Very good",62.2,"Faint",FALSE,"7.6x7.64x4.74","Very good","South Africa","Round","Very good",NA,"3","$ 20,165","$ 25,410"
"9544",0.8,"AGSL","I1","H","Good",57.6,"None",FALSE,"5.99+6.13x3.49","Good","South Africa","Asscher","Good",60,"1","$ 1,750","$ 2,600"
"9545",2.81,"AGSL","SI1","J","Excellent",NA,"None",FALSE,"8.95x9x5.63","Excellent","Russia","Princess","Excellent",56,"2","$ 30,160","$ 46,400"
"9546",1.3,"AGSL","SI1","H","Excellent",62.9,"Strong",FALSE,"6.92x6.98x4.37","Excellent","Canada","Oval","Very good",55,"2","$ 9,965","$ 16,865"
"9547",1.3,"AGSL","SI1","H","Excellent",61.9,"Strong",FALSE,"6.97x7x4.33","Excellent","Botswana","Round","Very good",56,"3","$ 8,680","$ 14,680"
"9548",1.3,"AGSL","VS1","J","Very good",62.2,"Medium",FALSE,"7.02x6.98x4.35","Very good","Other/Unknown","Round","Excellent",56,"3","$ 7,840","$ 13,270"
"9549",1.3,"AGSL","SI1","G","Excellent",62.9,"Faint",FALSE,"6.92x6.96x4.37","Excellent","Botswana","Round","Very good",NA,"2","$ 10,345","$ 16,625"
"9550",5.11,"AGSL","VS2","J","Excellent",60.6,"Medium",FALSE,"11.08*11.13x6.73","Excellent","Canada","Round","Excellent",NA,"2","$ 114,425","$ 176,040"
"9551",3.75,"AGSL","VS2","D","Excellent",61.3,NA,FALSE,"9.99x10.04x6.14","Excellent","Angola","Round","Excellent",NA,"2","$ 175,060","$ 204,820"
"9552",2.5,"AGSL","SI1","D","Very good",58.6,"Medium",FALSE,"8.9x8.99x5.24","Excellent","South Africa","Radiant","Excellent",62,"2","$ 45,450","$ 55,815"
"9554",1.43,"AGSL","SI1","I","Excellent",NA,"None",FALSE,"7.29x7.31x4.41","Excellent","Russia","ROUND","Excellent",NA,"4","$ 11,145","$ 17,365"
"9555",1.43,"NA","VS2","D","Excellent",61.8,"None",FALSE,"7.19x7.22+4.46","Excellent","Australia","Princess","Excellent",NA,"4","$ 22,055","$ 26,880"
"9557",1.15,"NA","VS2","D","Excellent",62.5,"None",FALSE,"6.69x6.71x4.19","Excellent","South Africa","Radiant","Excellent",54,"2","$ 12,480","$ 19,880"
"9561",3.58,"AGSL","VS2","G","Excellent",62,"None",FALSE,"9.76x9.79x6.06","Excellent","Botswana","Uncut","Excellent",58,"2","$ 49,365","$ 49,365"
"9562",3.58,"AGSL","IF","E","Excellent",61.2,NA,FALSE,"9.85x9.89x6.04","Excellent","Russia","Marquis","Excellent",60,"2","$ 180,160","$ 254,160"
"9563",10.04,"AGSL","VS2","M","Excellent",58.6,"Medium",FALSE,"14.16x14.18x8.31","Excellent","DR Congo","Round","Excellent",60,"2","$ 229,505","$ 278,545"
"9566",1.59,"GemEx","VS2","E","Excellent",61.2,"None",FALSE,"7.5x7.52x4.6","Excellent","Russia","Emerald","Excellent",57,"2","$ 25,725","$ 39,575"
"9567",1.59,"AGSL","VVS2","I","Excellent",61.7,"None",FALSE,"7.46x7.51x4.62","Excellent","South Africa","Oval","Excellent",58,"3","$ 17,085","$ 25,650"
"9568",2.13,"GemEx","VS2","E","Excellent",61.2,"Medium",FALSE,"8.29x8.34x5.09","Excellent","Botswana","Round","Excellent",57,"2","$ 46,365","$ 67,745"
"9570",2.13,"AGSL","VS1","H","Excellent",61.4,"None",FALSE,"8.24x8.29x5.07","Excellent","Angola","Oval ","Excellent",58,"4","$ 29,140","$ 54,730"
"9571",2.13,"AGSL","VS2","F","Excellent",60,"Medium",FALSE,"8.35x8.39x5.02","Excellent","South Africa","Round","Excellent",59,"2","$ 41,910","$ 63,450"
"9572",2.13,"AGSL","VS1","G","Excellent",60.2,"None",FALSE,"8.32x8.36x5.02","Excellent","Russia","Round","Excellent",59,"2","$ 40,205","$ 61,855"
"9574",1.57,"AGSL","VS1","H","Excellent",62.4,"Faint",FALSE,"7.43x7.45x4.64","Excellent","Russia","Princess","Excellent",NA,"2","$ 17,400","$ 26,770"
"9575",1.57,"AGSL","VS2","E","Excellent",62.1,"Faint",FALSE,"7.41x7.44x4.61","Excellent","Canada","Round","Excellent",NA,"2","$ 24,600","$ 37,845"
"9577",2.52,"AGSL","SI2","J","Very good",62.6,"None",FALSE,"8.59x8.72x5.42","Excellent","Other/Unknown","Round","Very good",56,"4","$ 24,480","$ 35,155"
"9578",2.52,"AGSL","VS2","D","Excellent",62.3,"Faint",FALSE,"8.66x8.7x5.41","Excellent","Australia","Round","Excellent",NA,"2","$ 64,190","$ 98,755"
"9580",2.52,"AGSL","SI2","J","Excellent",62.7,"None",FALSE,"8.65x8.7+5.44","Excellent","Australia","ROUND","Excellent",57,"4","$ 28,065","$ 38,180"
"9581",2.52,"AGSL","SI1","J","Excellent",61,"None",FALSE,"8.74x8.81x5.35","Excellent","Russia","Round","Excellent",58,"2","$ 27,890","$ 42,910"
"9582",2.52,"NA","VS2","G","Excellent",61.1,"None",FALSE,"8.76x8.78x5.36","Excellent","Zimbabwe","Round","Excellent",58,"2","$ 36,960","$ 56,880"
"9583",2.52,"AGSL","SI1","I","Excellent",62,"None",FALSE,"8.7x8.73x5.41","Excellent","Russia","Round","Excellent",58,"2","$ 32,430","$ 49,895"
"9584",2.52,"AGSL","SI1","D","Excellent",NA,"None",FALSE,"8.8x8.85x5.33","Excellent","DR Congo","Pear","Excellent",NA,"2","$ 53,280","$ 62,540"
"9585",1.82,"GemEx","VS1","F","Excellent",62.2,"None",FALSE,"7.79x7.81x4.86","Excellent","Australia","Marquise","Excellent",NA,"2","$ 30,375","$ 46,730"
"9586",1.32,"AGSL","SI2","D","Excellent",61.6,"Faint",FALSE,"7.07x7.09x4.36","Excellent","Angola","Round","Excellent",NA,"2","$ 11,605","$ 19,635"
"9587",1.32,"AGSL","SI2","D","Excellent",61.6,"None",FALSE,"7.06x7.1x4.36","Excellent","Botswana","Round","Excellent",NA,"2","$ 11,605","$ 18,910"
"9589",1.32,"AGSL","VVS1","J","Excellent",61.9,"None",FALSE,"7.03x7.1x4.37","Excellent","Botswana","Oval","Excellent",56,"2","$ 10,640","$ 16,880"
"9591",1.32,"AGSL","VS2","I","Excellent",62.4,"None",FALSE,"6.98x7.03x4.37","Excellent","Russia","Round","Excellent",NA,"2","$ 10,435","$ 17,655"
"9592",1.32,"AGSL","SI2","D","Excellent",62.5,"None",FALSE,"7.01x7.04x4.39","Excellent","Botswana","Emerald","Excellent",56,"3","$ 11,605","$ 19,430"
"9594",1.32,"AGSL","VS2","E","Excellent",62.2,"None",FALSE,"6.97x7x4.34","Excellent","DR Congo","Round","Excellent",57,"4","$ 15,295","$ 23,180"
"9595",1.13,"GemEx","IF","E","Excellent",61.3,"None",FALSE,"6.72*6.74x4.12","Excellent","Botswana","Oval","Excellent",NA,"2","$ 21,845","$ 34,795"
"9596",1.13,"AGSL","I1","M","Excellent",61.3,"None",FALSE,"6.75x6.77x4.14","Very good","Botswana","Round","Very good",NA,"1","$ 3,270","$ 5,525"
"9598",0.92,"AGSL","SI1","K","Very good",63,"None",FALSE,"6.12x6.07x3.84","Very good","DR Congo","Emerald","Very good",NA,"1","$ 3,225","$ 4,975"
"9600",0.45,"AGSL","SI2","E","Very good",63.4,NA,FALSE,"4.81x4.86x3.06","Very good","Australia","Emerald","Very good",56,"1","$ 1,175","$ 1,500"
"9601",0.45,"AGSL","SI2","E","Very good",63.7,NA,FALSE,"4.8x4.84x3.07","Excellent","Canada","Round","Excellent",56,"1","$ 1,205","$ 1,890"
"9602",0.45,"AGSL","SI2","E","Excellent",62.6,"None",FALSE,"4.85x4.88x3.05","Excellent","Russia","Round","Excellent",NA,"1","$ 1,250","$ 2,055"
"9603",0.45,"AGSL","SI2","E","Very good",59.7,"None",FALSE,"4.91x4.95x2.94","Excellent","Canada","ROUND","Excellent",62,"1","$ 1,205","$ 1,980"
"9604",0.72,"AGSL","SI1","I","Excellent",61.7,"None",FALSE,"5.77*5.74x3.55","Excellent","South Africa","Round","Very good",57,"1","$ 2,700","$ 4,180"
"9605",1.43,"AGSL","SI1","H","Excellent",NA,"Faint",FALSE,"7.18x7.16x4.49","Excellent","Russia","Round","Excellent",NA,"2","$ 11,240","$ 19,020"
"9606",1.43,"AGSL","SI1","I","Excellent",NA,"None",FALSE,"7.45x7.38x4.33","Very good","Botswana","Princess","Very good",61,"4","$ 10,340","$ 13,365"
"9607",1.3,"NA","SI2","I","Excellent",62.1,"None",FALSE,"7x6.96x4.33","Excellent","South Africa","Round","Excellent",NA,"3","$ 7,775","$ 8,235"
"9608",0.94,"AGSL","VS1","Fdpink"," ",61.6,"Faint",FALSE,"6.19*6.28x3.84","Excellent","Angola","Round","Good",61,"2","$ 9,445","$ 15,510"
"9609",1.39,"GemEx","SI1","J","Excellent",61.6,"None",FALSE,"7.14x7.16x4.4","Excellent","Russia","Princess","Excellent",NA,"4","$ 8,605","$ 13,775"
"9610",1.39,"AGSL","VS2","H","Excellent",62.8,"None",FALSE,"7.06x7.11x4.45","Excellent","Canada","Radiant","Excellent",58,"4","$ 14,035","$ 21,135"
"9613",0.72,"GemEx","VS2","J","Excellent",62.8,"None",FALSE,"5.7x5.74x3.59","Very good","Canada","Round","Very good",NA,"1","$ 2,220","$ 3,645"
"9614",0.72,"AGSL","SI2","F","Very good",61.6,"None",TRUE,"5.7x5.76x3.53","Very good","Angola","Emerald","Very good",57,"1","$ 3,255","$ 520"
"9615",0.72,"GemEx","VS2","D","Very good",63.8,"None",FALSE,"5.69x5.62x3.61","Very good","Russia","Round","Good",58,"2","$ 3,475","$ 5,700"
"9616",0.72,"AGSL","VS1","G","Very good",61.3,"None",FALSE,"5.79x5.84x3.56","Excellent","Other/Unknown","Round","Very good",60,"2","$ 4,280","$ 7,030"
"9617",1.38,"AGSL","SI2","F","Excellent",62.5,"None",FALSE,"7.1x7.14x4.45","Excellent","Botswana","Marquise","Excellent",56,"2","$ 11,075","$ 16,455"
"9619",1.38,"AGSL","VS1","D","Excellent",62.4,"Faint",FALSE,"7.08x7.12x4.44","Excellent","Russia","Oval","Excellent",57,"2","$ 20,620","$ 34,900"
"9620",1.38,"AGSL","SI1","H","Excellent",61.5,"None",FALSE,"7.12x7.16x4.39","Excellent","Russia","Round","Excellent",NA,"3","$ 10,380","$ 17,565"
"9623",8.77,"AGSL","VS1","H","Fair",54.8,"Faint",FALSE,"14.07x13.94x7.67","Excellent","Botswana","Marquise","Very good",NA,"2","$ 363,920","$ 540,850"
"9624",0.5,"AGSL","SI2","D","Very good",64.4,NA,FALSE,"4.94x4.98x3.2","Very good","Botswana","Princess","Very good",57,"1","$ 1,540","$ 745"
"9625",0.5,"AGSL","SI2","I","Very good",64.5,"None",FALSE,"4.99x5.03x3.23","Excellent","Russia","Princess","Excellent",57,"1","$ 1,155","$ 1,900"
"9626",0.5,"AGSL","SI1","I","Fair",64.9,NA,FALSE,"4.91x4.98x3.21","Excellent","South Africa","Round","Good",57,"1","$ 1,140","$ 1,835"
"9627",0.5,"AGSL","SI2","D","Good",65.3,"None",FALSE,"4.92x4.95x3.22","Very good","Russia","Round","Very good",57,"1","$ 1,405","$ 2,310"
"9628",0.5,"AGSL","SI2","E","Excellent",60.2,"Faint",FALSE,"5.14x5.17x3.1","Excellent","Other/Unknown","Round","Very good",58,"1","$ 1,540","$ 2,530"
"9629",0.5,"AGSL","SI2","F","Excellent",60.2,"Medium",FALSE,"5.15x5.17x3.11","Very good","Angola","Round","Excellent",58,"1","$ 1,375","$ 2,255"
"9630",1.01,"AGSL","SI2","E","Excellent",62.3,"Faint",FALSE,"6.4x6.44x4","Excellent","Russia","Marquise","Excellent",55,"2","$ 6,480","$ 10,965"
"9631",1.32,"AGSL","SI1","Ffcdbrown"," ",0," ",FALSE,"6.96x7.12x4.15"," ","Botswana","Round"," ",0,"2","$ 3,120","$ 5,710"
"9632",1.32,"NA","VS2","Ffcy"," ",57,"Medium",FALSE,"7.29x7.24x4.14","Excellent","Australia","Princess","Good",65,"2","$ 11,150","$ 17,840"
"9635",1.54,"AGSL","SI1","F","Excellent",62.2,NA,TRUE,"7.34x7.39x4.58","Excellent","DR Congo","Princess","Excellent",NA,"3","$ 16,115","$ 1,760"
"9636",1.54,"AGSL","SI2","H","Very good",62.7,NA,FALSE,"7.3x7.35x4.59","Excellent","Russia","Oval","Excellent",60,"4","$ 10,635","$ 15,355"
"9637",1.7,"AGSL","SI2","G","Excellent",62.8,"Faint",FALSE,"7.57x7.61x7.46","Excellent","Botswana","Round","Excellent",NA,"2","$ 12,375","$ 17,665"
"9638",1.7,"AGSL","SI1","I","Very good",62.2,"Faint",FALSE,"7.61x7.63x4.74","Very good","Canada","Round","Excellent",60,"3","$ 16,575","$ 25,500"
"9639",1.7,"AGSL","VS2","G","Very good",NA,"None",FALSE,"7.6x7.55x4.7","Excellent","Russia","Pear","Excellent",NA,"4","$ 20,320","$ 29,375"
"9640",10.76,"AGSL","VS2","G","Excellent",58.5,"Faint",FALSE,"14.57x14.64x8.54","Excellent","Botswana","Round","Excellent",60,"2","$ 830,540","$ 1,104,805"
"9642",1.4,"AGSL","VS1","H","Excellent",62.6,"None",FALSE,"7.13x7.16x4.47","Excellent","Other/Unknown","Emerald","Excellent",58,"4","$ 14,320","$ 22,940"
"9643",1.4,"AGSL","SI1","I","Excellent",62.6,"None",TRUE,"7.1x7.14x4.46","Excellent","Angola","Round","Excellent",58,"3","$ 10,590","$ 2,275"
"9644",1.4,"AGSL","VVS2","H","Excellent",60.3,"None",FALSE,"7.23x7.26x4.37","Excellent","Zimbabwe","Round","Excellent",NA,"4","$ 13,960","$ 22,675"
"9645",1.4,"AGSL","SI2","I","Excellent",NA,"None",FALSE,"7.23*7.26x4.39","Excellent","Australia","ROUND","Excellent",NA,"2","$ 8,845","$ 14,970"
"9646",1.4,"AGSL","VVS1","J","Excellent",60.8,"Medium",FALSE,"7.19x7.22x4.38","Excellent","Russia","Round","Excellent",NA,"2","$ 9,815","$ 16,615"
"9647",1.4,"AGSL","VVS2","D","Excellent",61.2,"None",FALSE,"7.19x7.22x4.41","Excellent","Canada","Princess","Excellent",59,"2","$ 23,515","$ 39,795"
"9648",1.4,"AGSL","VS1","I","Excellent",61.2,"None",FALSE,"7.18x7.22x4.41","Excellent","Russia","Oval","Excellent",59,"3","$ 10,365","$ 17,540"
"9650",1.4,"AGSL","SI2","F","Excellent",NA,NA,FALSE,"7.16x7.19x4.41","Excellent","Canada","Pear","Excellent",NA,"2","$ 12,385","$ 10,685"
"9652",2.01,"AGSL","SI2","K","Excellent",61.9,"None",FALSE,"8.08x8.1x5.01","Excellent","Russia","Round","Excellent",55,"3","$ 13,450","$ 20,695"
"9653",2.01,"AGSL","VS1","E","Excellent",62.1,NA,FALSE,"8.05x8.08x5.01","Excellent","Russia","Emerald","Excellent",NA,"2","$ 53,575","$ 76,030"
"9656",1.4,"AGSL","SI2","F","Excellent",61.9,NA,FALSE,"7.12x7.15x4.41","Excellent","Russia","Round","Excellent",59,"2","$ 10,780","$ 12,560"
"9658",1.4,"AGSL","VS1","K","Excellent",62.2,"None",FALSE,"7.14x7.17x4.45","Excellent","South Africa","Round","Excellent",59,"2","$ 8,190","$ 13,340"
"9659",1.4,"AGSL","SI1","G","Excellent",NA,"None",FALSE,"7.1x7.14x4.45","Excellent","Russia","Round","Excellent",59,"4","$ 13,595","$ 20,180"
"9660",1.4,"AGSL","VS1","J","Very good",59.3,"Medium",FALSE,"7.24x7.3x4.31","Very good","Russia","Round","Very good",NA,"3","$ 9,925","$ 16,790"
"9662",1.4,"AGSL","VS1","I","Excellent",59.5,"None",FALSE,"7.29x7.31x4.34","Excellent","Australia","Marquise","Excellent",60,"3","$ 12,195","$ 20,635"
"9664",1.35,"AGSL","VS1","F","Excellent",62.6,"None",FALSE,"7.04x7.06x4.41","Excellent","Russia","Princess","Excellent",NA,"3","$ 16,685","$ 28,235"
"9665",1.35,"NA","VS2","D","Excellent",62.7,"None",FALSE,"7.03x7.06x4.41","Excellent","Botswana","Round","Excellent",NA,"2","$ 15,260","$ 24,055"
"9666",2.01,"AGSL","SI1","F","Very good",62.5,"Faint",FALSE,"7.98x8.02x5","Excellent","Botswana","Oval","Excellent",NA,"2","$ 32,455","$ 49,290"
"9668",1.51,"AGSL","SI1","J","Very good",NA,"None",FALSE,"7.4x7.46x4.52","Excellent","Other/Unknown","Round","Good",NA,"3","$ 11,305","$ 17,395"
"9669",1.51,"AGSL","SI2","G","Excellent",NA,"None",TRUE,"7.34x7.37x4.54","Excellent","Zimbabwe","Oval","Very good",55,"2","$ 14,175","$ 1,715"
"9670",1.51,"AGSL","IF","D","Excellent",59.3,"None",FALSE,"7.48x7.55x4.46","Excellent","Russia","Round","Excellent",56,"2","$ 47,585","$ 73,205"
"9671",1.51,"AGSL","VS2","D","Excellent",NA,"None",FALSE,"7.4x7.43x4.54","Excellent","Russia","Pear","Excellent",56,"4","$ 30,320","$ 40,285"
"9672",1.51,"NA","VS1","H","Excellent",61.9,"None",FALSE,"7.34x7.39x4.56","Excellent","Canada","Round","Excellent",56,"4","$ 18,070","$ 22,580"
"9673",1.4,"NA","SI1","F","Excellent",61.9,"None",FALSE,"7.17x7.21x4.45","Excellent","Russia","Round","Excellent",55,"2","$ 13,315","$ 20,930"
"9674",1.4,"AGSL","VS2","D","Excellent",61.4,"None",FALSE,"7.2x7.23x4.43","Excellent","Russia","Asscher","Very good",NA,"4","$ 20,345","$ 31,965"
"9676",1.4,"AGSL","SI1","I","Excellent",62.2,"None",TRUE,"7.14x7.17x4.45","Excellent","Angola","Round","Excellent",NA,"2","$ 10,265","$ 1,250"
"9677",1.4,"AGSL","VS1","H","Excellent",NA,NA,FALSE,"7.13x7.17x4.47","Excellent","Canada","Marquise","Excellent",NA,"2","$ 13,970","$ 19,430"
"9678",1.4,"AGSL","VS2","J","Excellent",62.6,"None",FALSE,"7.09x7.14x4.46","Excellent","Botswana","Round","Excellent",56,"2","$ 10,090","$ 13,815"
"9679",1.4,"GemEx","VS1","D","Excellent",62.8,NA,FALSE,"7.11x7.13x4.47","Excellent","Angola","Emerald","Excellent",NA,"2","$ 21,580","$ 33,900"
"9680",1.4,"AGSL","VVS2","D","Excellent",NA,"None",FALSE,"7.21x7.23x4.41","Excellent","Canada","Princess","Excellent",NA,"2","$ 25,730","$ 43,540"
"9681",1.4,"GemEx","VS1","E","Excellent",61.4,"None",FALSE,"7.18x7.19x4.41","Excellent","Russia","Round","Excellent",57,"4","$ 19,385","$ 29,660"
